prov,head_popgrp,hsg_maind,hsg_rm_tot,hsg_rent,onemed_hh,ad60plusyr_hh,lab_salary_hh,soc_grant_hh,metro_code,
1,1,5,6,6,6,0,0,0,1,
1,1,3,4,5,1,0,0,0,1,
1,2,1,8,88,1,0,31058,0,1,
1,2,1,5,88,0,0,31058,0,1,
1,2,1,9,88,0,2,11204,4,1,
1,2,1,5,88,0,0,1000,1,1,
1,4,1,7,6,4,0,55010,0,1,
1,4,4,7,7,2,0,8000,0,1,
1,4,4,6,7,3,0,25500,0,1,
1,4,1,8,6,2,0,0,0,1,
1,4,4,10,7,2,0,8000,0,1,
1,4,1,9,7,3,0,75000,0,1,
1,4,1,10,88,2,0,16000,0,1,
1,4,1,7,5,1,0,9999999,0,1,
1,2,9,2,88,0,0,0,3,1,
1,2,9,4,88,1,0,10800,1,1,
1,2,3,4,1,0,1,3929,1,1,
1,2,3,5,1,0,1,0,4,1,
1,2,3,4,88,0,0,8966,2,1,
1,2,1,5,1,0,2,10887,2,1,
1,2,3,5,2,0,0,6000,0,1,
1,2,3,99,88,4,0,21583,0,1,
1,2,1,8,88,4,1,21583,0,1,
1,2,1,10,88,1,1,34935,0,1,
1,2,1,6,3,4,0,20310,0,1,
1,2,1,10,4,4,0,31058,0,1,
1,2,1,7,4,0,0,16852,0,1,
1,1,9,3,88,0,0,18609,0,1,
1,1,9,1,88,0,0,0,0,1,
1,1,9,2,3,0,0,7297,0,1,
1,1,9,2,88,0,0,0,1,1,
1,1,7,1,2,0,0,4000,0,1,
1,1,1,3,88,0,0,0,1,1,
1,1,1,3,88,0,1,4000,1,1,
1,4,3,4,5,2,2,21583,0,1,
1,2,1,8,88,0,1,5257,0,1,
1,4,3,4,5,0,0,13352,0,1,
1,4,6,8,88,1,0,21583,0,1,
1,4,6,5,2,1,0,13352,0,1,
1,2,6,5,4,0,0,19173,0,1,
1,4,1,8,88,2,0,34935,0,1,
1,4,3,5,4,1,1,0,0,1,
1,4,3,5,5,0,0,44287,0,1,
1,4,3,4,4,0,0,6958,1,1,
1,2,1,5,3,0,0,5600,3,1,
1,2,1,4,88,0,0,18609,0,1,
1,2,1,5,88,0,0,0,4,1,
1,2,1,3,3,0,0,4500,2,1,
1,2,1,7,88,1,1,21583,1,1,
1,2,1,11,88,0,1,1249,0,1,
1,2,1,6,88,1,0,25512,0,1,
1,2,1,5,88,1,0,17500,0,1,
1,2,1,8,88,4,0,52641,0,1,
1,2,1,8,88,0,1,33427,1,1,
1,2,1,9,88,0,2,3929,6,1,
1,2,1,6,88,0,0,9186,2,1,
1,2,1,5,88,0,2,6958,3,1,
1,2,1,9,88,5,2,34935,2,1,
1,2,1,6,88,0,1,13352,2,1,
1,2,1,2,88,0,0,0,2,1,
1,2,1,6,88,0,0,0,0,1,
1,2,1,5,88,0,2,0,3,1,
1,2,8,2,2,0,0,0,3,1,
1,2,1,4,88,2,0,9800,0,1,
1,2,1,3,88,0,1,4572,1,1,
1,2,1,5,1,0,0,6400,2,1,
1,2,1,5,88,0,1,5994,3,1,
1,2,1,6,88,0,2,0,3,1,
1,2,1,6,88,1,1,5529,1,1,
1,1,1,5,88,2,2,0,2,1,
1,2,1,8,88,0,0,20725,6,1,
1,2,1,7,88,0,0,5050,1,1,
1,2,1,5,88,2,1,13115,1,1,
1,2,8,3,88,0,0,0,4,1,
1,4,1,11,88,2,0,64000,0,1,
1,4,1,10,88,2,2,1249,1,1,
1,4,1,9,88,1,1,0,0,1,
1,4,1,6,88,0,1,0,1,1,
1,4,1,10,88,2,2,0,0,1,
1,4,1,8,5,4,0,34935,0,1,
1,4,1,6,88,2,2,0,0,1,
1,2,6,5,88,5,0,22827,0,1,
1,2,1,4,88,0,2,3929,3,1,
1,2,8,1,88,0,0,4500,2,1,
1,2,6,5,88,1,1,21583,1,1,
1,2,1,7,88,1,0,21583,0,1,
1,2,6,5,88,0,2,0,2,1,
1,2,1,5,88,0,0,5200,3,1,
1,2,1,7,88,0,0,6958,2,1,
1,2,1,4,88,0,0,0,0,1,
1,2,8,2,2,0,0,0,2,1,
1,4,1,6,5,3,0,21000,0,1,
1,4,1,10,88,4,0,0,0,1,
1,4,1,11,88,2,2,0,0,1,
1,4,1,8,5,3,0,0,0,1,
1,4,1,8,6,4,0,28000,0,1,
1,4,1,6,4,0,0,15500,0,1,
1,2,1,6,88,0,1,5000,3,1,
1,2,1,6,88,0,1,417,3,1,
1,2,1,3,88,0,0,960,1,1,
1,2,1,6,88,0,1,0,3,1,
1,2,1,4,88,0,0,4080,0,1,
1,2,1,3,88,0,1,0,1,1,
1,2,1,4,88,0,0,8900,0,1,
1,4,1,7,6,2,2,50000,0,1,
1,2,1,6,88,5,1,41427,1,1,
1,2,1,6,88,0,1,16000,2,1,
1,2,1,7,88,0,2,0,2,1,
1,2,1,4,88,0,0,6500,1,1,
1,2,1,6,88,0,0,4000,1,1,
1,2,1,6,88,0,2,3360,2,1,
1,2,1,7,88,0,0,16000,2,1,
1,2,12,1,1,0,0,0,2,1,
1,2,1,4,88,0,0,0,4,1,
1,2,6,7,88,0,0,8000,0,1,
1,2,6,3,88,0,0,4000,2,1,
1,2,6,3,3,0,1,6540,0,1,
1,2,1,3,88,0,1,0,1,1,
1,2,6,5,88,0,0,7200,2,1,
1,2,1,4,88,0,0,0,1,1,
1,2,1,6,88,0,2,7200,4,1,
1,2,1,4,3,3,0,17500,0,1,
1,2,1,7,1,0,0,10800,1,1,
1,2,1,5,88,0,0,15600,2,1,
1,2,1,6,88,1,0,13000,4,1,
1,2,1,5,88,0,2,0,3,1,
1,4,1,10,8,2,0,50000,0,1,
1,2,1,5,88,0,0,0,1,1,
1,1,7,1,1,0,0,4000,0,1,
1,1,1,4,88,0,0,4900,0,1,
1,1,1,5,88,0,0,6000,5,1,
